@relation testeZeroA

@attribute hu0 numeric
@attribute hu1 numeric
@attribute hu2 numeric
@attribute hu3 numeric
@attribute hu4 numeric
@attribute hu5 numeric
@attribute hu6 numeric
@attribute shp0 numeric
@attribute shp1 numeric
@attribute groups {ZERO,SETE,TRES,QUATRO,NOVE,SEIS,OITO,DEZ,UM,CINCO,DOIS,ONZE}
@attribute label {I,Aviao,Adulto,O,Casa,P,Pedra,E,DOIS,Verbo,Identidade,L,W,QUATRO,Junto,Y,U,UM,C,T,N,V,Lei,S,D,A,B,Gasolina,Palavra,Pequeno,G,SETE,F,X,CINCO,America,NOVE,Q,M,R}


@data
0.254161,0.0237885,0.00218188,0.000140293,1.27447e-08,1.49282e-05,-7.65655e-08,1,5,?,?
0.254877,0.0240683,0.00220747,0.000140014,1.40029e-08,1.54251e-05,-7.65703e-08,2,5,?,?
0.255986,0.0245716,0.00222224,0.000140625,1.67032e-08,1.60361e-05,-7.68171e-08,1,5,?,?
0.256705,0.0250261,0.00220358,0.000152364,2.07586e-08,1.76282e-05,-8.58098e-08,1,5,?,?
0.257477,0.0256554,0.0021617,0.000158831,2.42056e-08,1.8646e-05,-8.98655e-08,1,5,?,?
0.257841,0.0258676,0.00214779,0.000163709,2.56083e-08,1.91994e-05,-9.36355e-08,2,5,?,?
0.258509,0.0261189,0.00216053,0.000167631,2.65077e-08,1.97588e-05,-9.73363e-08,2,5,?,?
0.259042,0.02654,0.00217035,0.000178054,3.44267e-08,2.16067e-05,-1.05196e-07,1,5,?,?
0.259871,0.0270182,0.00212581,0.000180344,3.30818e-08,2.16484e-05,-1.06652e-07,2,5,?,?
0.259821,0.02704,0.00214236,0.000184746,3.66436e-08,2.24289e-05,-1.10299e-07,2,5,?,?
0.2606,0.0274688,0.00212686,0.00018501,3.70841e-08,2.26615e-05,-1.0997e-07,2,5,?,?
0.260539,0.0274559,0.00213236,0.000188384,3.86968e-08,2.31559e-05,-1.12953e-07,2,5,?,?
0.261218,0.0279211,0.00209886,0.000194268,4.18284e-08,2.41358e-05,-1.16784e-07,1,5,?,?
0.261822,0.0281494,0.00210588,0.000193548,4.20196e-08,2.42168e-05,-1.16202e-07,1,5,?,?
0.260843,0.0277892,0.00208521,0.000193684,4.15468e-08,2.40158e-05,-1.15864e-07,1,5,?,?
0.261532,0.0280847,0.00208697,0.000194762,4.11464e-08,2.41615e-05,-1.17154e-07,1,5,?,?
0.261742,0.0280941,0.00209054,0.000192326,3.94589e-08,2.38725e-05,-1.15391e-07,1,5,?,?
0.261357,0.0279819,0.00208843,0.000192773,4.14283e-08,2.41412e-05,-1.15085e-07,1,5,?,?
0.261694,0.0281774,0.00209177,0.000195879,4.25739e-08,2.44541e-05,-1.17934e-07,1,5,?,?
0.263735,0.0290907,0.00214653,0.000214396,5.18451e-08,2.70938e-05,-1.35889e-07,2,5,?,?
0.266391,0.0304762,0.00223505,0.000259647,8.53269e-08,3.47556e-05,-1.78446e-07,1,5,?,?
0.27137,0.0332677,0.00228733,0.000326799,1.45241e-07,4.66458e-05,-2.42354e-07,1,5,?,?
0.273268,0.0341073,0.0021291,0.00032261,1.11755e-07,4.17705e-05,-2.42895e-07,2,5,?,?
0.272036,0.033059,0.00167659,0.000228224,-1.83654e-08,9.90492e-06,-1.39974e-07,3,5,?,?
0.264838,0.0294108,0.00118844,0.000169214,-4.49235e-08,-5.97852e-06,-6.11557e-08,2,5,?,?
0.257904,0.0258958,0.000967481,0.000146771,-5.01384e-08,-1.49114e-05,-2.33465e-08,2,6,?,?
0.252193,0.0237125,0.000764805,0.000123483,-3.72999e-08,-1.48915e-05,-6.98185e-09,1,5,?,?
0.24902,0.0221816,0.000667018,0.000112725,-3.0896e-08,-1.40573e-05,-9.31252e-10,2,6,?,?
0.248165,0.021865,0.000610968,0.00010463,-2.62691e-08,-1.36192e-05,3.12462e-09,3,6,?,?
0.248882,0.0221201,0.000579038,9.99972e-05,-2.35663e-08,-1.33779e-05,4.85966e-09,1,6,?,?
